username,follower_count,following_count,profile_pic,account_activity,region,total_posts,total_likes,total_comments,activity_pm
dnardoni0,7275,8234,false,9,India,1,652,11,60448
isteaning1,2385,9665,false,1,India,61,134,392,8126
dpitts2,9394,4628,false,10,USA,41,379,470,20958
eralton3,8288,9586,false,7,USA,70,875,488,16130
cpeerman4,3502,5725,true,6,Canada,70,226,15,80666
ncarress5,3198,1109,true,2,Canada,85,21,11,45359
mbrundale6,4780,7523,true,3,Canada,38,595,39,53873
cotter7,9830,5647,true,19,India,84,970,137,97080
dwinchurch8,5186,7720,true,15,India,52,117,231,63407
gokeshott9,8635,3728,false,4,USA,76,712,375,37307
kduggeta,8385,1864,false,18,Canada,41,738,466,63505
mspehrb,9370,7497,false,17,India,19,997,496,94576
ksavegec,9550,4867,false,4,India,96,295,275,12080
bboled,280,8524,true,6,India,86,576,97,52630
mjakubovicse,8138,7343,true,10,India,7,526,183,31672
cfarfootf,4337,8212,true,1,Canada,66,631,374,98861
byeatsg,2470,7416,true,10,India,32,500,97,36908
bfoggoh,2378,2580,false,2,India,55,154,328,7441
gingamellsi,7230,2105,false,12,USA,89,312,40,44210
gmccaheyj,4542,7065,false,11,India,40,712,476,9281
asilburnk,7381,1554,false,6,India,33,556,62,32499
akhadirl,7364,2956,false,13,USA,22,953,150,66810
ochecchetellim,390,9101,true,16,Canada,85,502,108,10861
aatlayn,8372,1683,true,20,USA,35,614,322,25551
lorsayo,6655,9251,false,8,Canada,87,346,448,58965
ealdredp,6882,2253,false,1,USA,1,809,61,82137
jcreberq,4465,550,true,6,USA,54,527,45,83681
dmapledoramr,8451,4515,true,1,India,27,598,311,12584
fbowleys,6116,2123,false,19,Canada,15,181,169,63932
sedisont,2875,3506,false,7,India,4,535,309,67260
dericssonu,7409,107,false,3,USA,85,481,219,67601
ccarranev,46,2165,true,13,India,99,664,263,97192
swroew,4710,4588,true,20,India,95,70,346,41009
btowex,2868,755,false,9,USA,57,362,445,35082
fbassony,2204,8038,true,5,USA,39,887,255,1273
mhemphallz,4111,656,false,5,USA,2,612,182,21719
ibarbisch10,9249,8051,true,20,India,47,180,245,11966
ilunny11,1488,7266,false,3,India,70,955,216,47392
pallatt12,7037,8494,true,16,India,100,275,98,56416
lcornier13,7584,2152,true,2,USA,23,602,196,6486
ikaes14,5263,9181,true,8,India,11,31,122,57137
jlocard15,4619,743,true,17,Canada,69,163,235,14653
gtyson16,2452,2998,true,20,USA,5,949,269,24734
vdrury17,3049,9510,true,5,India,27,805,40,78510
gjasper18,2644,7425,false,18,USA,45,247,206,75473
wroelofs19,1420,4825,true,2,Canada,42,646,295,97561
